"VUN",8768244,"Vulaines sur Seine Samoreau",1
"CME",8768245,"Champagne sur Seine",1
"VSS",8768246,"Vernou sur Seine",1
"GPA",8768247,"La Grande Paroisse",1
"VOM",8768250,"Vosves",1
"BKR",8768251,"Boissise-le-Roi",1
"POP",8768252,"Ponthierry-Pringy",1
"XFA",8768254,"Saint-Fargeau",1
"SES",8768300,"Sens",1
"VVG",8768310,"Villeneuve la Guyard",1
"CSY",8768312,"Champigny-sur-Yonne",1
"PUY",8768313,"Pont-sur-Yonne",1
"EYV",8768320,"Étigny Véron",1
"VYE",8768321,"Villeneuve sur Yonne",1
"SJX",8768322,"Saint-Julien-du-Sault",1
"JOI",8768324,"Joigny",1
"LAR",8768326,"Laroche Migennes",1
"MS",8768400,"Montargis",1
"MKN",8768410,"Montigny sur Loing",1
"BOM",8768411,"Bourron Marlotte Grez",1
"NSP",8768412,"Nemours Saint-Pierre",1
"BXN",8768419,"Bagneaux sur Loing",1
"SPP",8768421,"Souppes Château Landon",1
"DDI",8768423,"Dordives",1
"FFY",8768424,"Ferrières Fontenay",1
"BWI",8768440,"Boigneville",1
"MAL",8768441,"Malesherbes",1
"PLY",8768600,"Paris Gare de Lyon",1
"PAA",8768603,"Paris Gare de Lyon",1
"PBY",8768666,"Paris Bercy",0
"VDE",8773006,"Val d'Europe",1
"BXG",8775498,"Bussy Saint-Georges",1
"MVC",8775499,"Marne la Vallée Chessy",1
"CGP",8775800,"Charles de Gaulle-Étoile",1
"GAW",8775801,"La Défense Grande Arche",1
"NAF",8775802,"Nanterre Préfecture",1
"NC7",8775803,"Nanterre Université RER A",1
"NC3",8775804,"Nanterre Ville",1
"NC6",8775805,"Rueil-Malmaison",1
"NC5",8775806,"Chatou-Croissy",1
"NC4",8775807,"Le Vésinet-Centre",1
"NC2",8775808,"Le Vésinet Le Pecq",1
