Transporteur Nom,PA ID,UIC8,UIC7,PR ID,ZDE ID,ZDE Libelle,ZDE Type,ZDE Mode,__ZDEp_ID,ZDEp Nom,ZDEp Mode,__ZDEr_ID,ZDEr Nom,ZDEr Mode,__ZDLr_ID,ZDLr Nom,__LDA_ID,ZDE_ASSOCIEE
RATP,690,,,,2263,Falguière,N.D.,METRO,50026070,Falguière,METRO,463173,Falguière,metro,42981,Falguière,73641,N.D.
RATP,691,,,,1718,SAINT-FARGEAU,N.D.,METRO,50026103,Saint-Fargeau,METRO,463071,Saint-Fargeau,metro,44864,Saint-Fargeau,71860,N.D.
RATP,691,,,,2463,SAINT-FARGEAU,N.D.,METRO,50025954,Saint-Fargeau,METRO,21946,Saint-Fargeau,metro,44864,Saint-Fargeau,71860,N.D.
RATP,692,,,,60624,FAUBOURG DE L'ARCHE,N.D.,TRAM-TRAIN,50145858,FAUBOURG DE L'ARCHE,TRAM,24432,Faubourg de l'Arche,tram,479058,Faubourg de l'Arche,72063,N.D.
RATP,692,,,,60637,FAUBOURG DE L'ARCHE,N.D.,TRAM-TRAIN,50145871,FAUBOURG DE L'ARCHE,TRAM,23433,Faubourg de l'Arche,tram,479058,Faubourg de l'Arche,72063,N.D.
RATP,693,,,,3343746,Félix Faure,N.D.,METRO,50027057,Félix Faure,METRO,22189,Félix Faure,metro,42984,Félix Faure,71137,N.D.
RATP,693,,,,3343752,Félix Faure,N.D.,METRO,50027058,Félix Faure,METRO,463163,Félix Faure,metro,42984,Félix Faure,71137,N.D.
RATP,694,,,,3343779,Filles du Calvaire,N.D.,METRO,50025884,Filles du Calvaire,METRO,463048,Filles du Calvaire,metro,58727,Filles du Calvaire,71277,N.D.
RATP,694,,,,3343780,Filles du Calvaire,N.D.,METRO,50027067,Filles du Calvaire,METRO,22200,Filles du Calvaire,metro,58727,Filles du Calvaire,71277,N.D.
RATP,695,,,,1944,Fort d'Aubervilliers,N.D.,METRO,50026322,Fort d'Aubervilliers,METRO,22393,Fort d'Aubervilliers,metro,47891,Fort d'Aubervilliers,73695,N.D.
RATP,695,,,,2199,Fort d'Aubervilliers,N.D.,METRO,50026143,Fort d'Aubervilliers,METRO,463179,Fort d'Aubervilliers,metro,47891,Fort d'Aubervilliers,73695,N.D.
RATP,696,,,,1945,Franklin-Roosevelt,N.D.,METRO,50026357,Franklin-Roosevelt,METRO,463181,Franklin-Roosevelt,metro,43026,Franklin D. Roosevelt,71318,N.D.
RATP,696,,,,1946,Franklin-Roosevelt,N.D.,METRO,50026038,Franklin-Roosevelt,METRO,463180,Franklin-Roosevelt,metro,43026,Franklin D. Roosevelt,71318,N.D.
RATP,696,,,,2200,Franklin-Roosevelt,N.D.,METRO,50026707,Franklin-Roosevelt,METRO,22082,Franklin-Roosevelt,metro,43026,Franklin D. Roosevelt,71318,N.D.
RATP,696,,,,2201,Franklin-Roosevelt,N.D.,METRO,50026039,Franklin-Roosevelt,METRO,21931,Franklin-Roosevelt,metro,43026,Franklin D. Roosevelt,71318,N.D.
